iter,t,x,y,theta,vx,vy
207,5.175000,905.336147,326.000000,0.000000,1.800000,0.000000
208,5.200000,906.229004,326.000000,0.000000,1.800000,0.000000
209,5.225000,907.121861,326.000000,0.000000,1.800000,0.000000
210,5.250000,908.014719,326.000000,0.000000,1.800000,0.000000
211,5.275000,908.907576,326.000000,0.000000,1.800000,0.000000
212,5.300000,909.800433,326.000000,0.000000,1.800000,0.000000
213,5.325000,910.693290,326.000000,0.000000,1.800000,0.000000
214,5.350000,911.586147,326.000000,0.000000,1.800000,0.000000
215,5.375000,912.479004,326.000000,0.000000,1.800000,0.000000
216,5.400000,913.371861,326.000000,0.000000,1.800000,0.000000
217,5.425000,914.264719,326.000000,0.000000,1.800000,0.000000
218,5.450000,915.157576,326.000000,0.000000,1.800000,0.000000
219,5.475000,916.050433,326.000000,0.000000,1.800000,0.000000
220,5.500000,916.943290,326.000000,0.000000,1.800000,0.000000
221,5.525000,917.836147,326.000000,0.000000,1.800000,0.000000
222,5.550000,918.729004,326.000000,0.000000,1.800000,0.000000
223,5.575000,919.621861,326.000000,0.000000,1.800000,0.000000
224,5.600000,920.514719,326.000000,0.000000,1.800000,0.000000
225,5.625000,921.407576,326.000000,0.000000,1.800000,0.000000
226,5.650000,922.300433,326.000000,0.000000,1.800000,0.000000
227,5.675000,923.193290,326.000000,0.000000,1.800000,0.000000
228,5.700000,924.086147,326.000000,0.000000,1.800000,0.000000
229,5.725000,924.979004,326.000000,0.000000,1.800000,0.000000
230,5.750000,925.871861,326.000000,0.000000,1.800000,0.000000
231,5.775000,926.764719,326.000000,0.000000,1.800000,0.000000
232,5.800000,927.657576,326.000000,0.000000,1.800000,0.000000
233,5.825000,928.550433,326.000000,0.000000,1.800000,0.000000
234,5.850000,929.443290,326.000000,0.000000,1.800000,0.000000
235,5.875000,930.336147,326.000000,0.000000,1.800000,0.000000
236,5.900000,931.229004,326.000000,0.000000,1.800000,0.000000
237,5.925000,932.121861,326.000000,0.000000,1.800000,0.000000
238,5.950000,933.014719,326.000000,0.000000,1.800000,0.000000
239,5.975000,933.907576,326.000000,0.000000,1.800000,0.000000
240,6.000000,934.800433,326.000000,0.000000,1.800000,0.000000
241,6.025000,935.693290,326.000000,0.000000,1.800000,0.000000
242,6.050000,936.586147,326.000000,0.000000,1.800000,0.000000
243,6.075000,937.479004,326.000000,0.000000,1.800000,0.000000
244,6.100000,938.371861,326.000000,0.000000,1.800000,0.000000
